name,url,img,poem
Fleece the Lamb,https://www.angelfire.com/ar/bbcollector/fleece.html,img/fleece.gif,"Fleece would like to sing a lullaby But please be patient, she's rather shy When you sleep, keep her by your ear Her song will leave you nothing to fear."
Flip the Cat,https://www.angelfire.com/ar/bbcollector/flip.html,img/flip.gif,Flip the cat is an acrobat She loves playing on her mat This cat flips with such grace and flair She can somersault in mid air!
Floppity the Bunny,https://www.angelfire.com/ar/bbcollector/floppity.html,img/floppity.gif,Floppity hops from here to there Searching for eggs without a care Lavendar coat from head to toe All dressed up and nowhere to go!
Fortune the Panda,https://www.angelfire.com/ar/bbcollector/fortune.html,img/fortune.gif,Nibbling on a bamboo tree This little panda is hard to see You're so lucky with this one you found Only a few are still around!
Freckles the Leopard,https://www.angelfire.com/ar/bbcollector/freckles.html,img/freckles.gif,"From the trees he hunts his prey In the night and in the day He's the king of camouflage Look real close, he's no mirage!"
Garcia the Bear,https://www.angelfire.com/ar/bbcollector/garcia.html,img/garcia.gif,The Beanies use to follow him around Because Garcia traveled from town to town He's pretty popular as you can see Some even say he's legendary!
Gobbles the Turkey,https://www.angelfire.com/ar/bbcollector/gobbles.html,img/gobbles.gif,Gobbles the turkey loves to eat Once a year she has a feast I have a secret I'd like to divulge If she eats too much her tummy will bulge!
Goldie the Goldfish,https://www.angelfire.com/ar/bbcollector/goldie.html,img/goldie.gif,"She's got the rhythm, she's got the soul What more could you want in a fish bowl? Through sound waves Goldie swam Because this goldfish likes to jam!"
Gracie the Swan,https://www.angelfire.com/ar/bbcollector/gracie.html,img/gracie.gif,"As a duckling, she was confused Birds on the lake were quite amused Poking fun until she would cry Now the most beautiful swan at Ty!"
Grunt the Razorback,https://www.angelfire.com/ar/bbcollector/grunt.html,img/grunt.gif,"Some Beanies think Grunt is tough No surprise, he's scary enough But if you take him home you'll see Grunt is the sweetest Beanie Baby!"
Happy the Hippo,https://www.angelfire.com/ar/bbcollector/happy.html,img/happy.gif,Happy the Hippo loves to wade In the river and in the shade When Happy shoots water out of his snout You know he's happy without a doubt!
Hippity the Bunny,https://www.angelfire.com/ar/bbcollector/hippity.html,img/hippity.gif,"Hippity is a cute little bunny Dressed in green, he looks quite funny Twitching his nose in the air Sniffing a flower here and there!"
Hissy the Snake,https://www.angelfire.com/ar/bbcollector/hissy.html,img/hissy.gif,Curled and coiled and ready to play He waits for you patiently every day He'll keep his best friend but not his skin Then stay with you through thick and thin!
Hoot the Owl,https://www.angelfire.com/ar/bbcollector/hoot.html,img/hoot.gif,"Late to bed, late to rise Nevertheless, Hoot's quite wise Studies by candlelight, nothing new Like a president, do you know Whoo?"
Hoppity the Bunny,https://www.angelfire.com/ar/bbcollector/hoppity.html,img/hoppity.gif,"Hopscotch is what she likes to play If you don't join in, she'll hop away So play a game if you have the time She likes to play, rain or shine!"
Iggy the Iguana,https://www.angelfire.com/ar/bbcollector/iggy.html,img/iggy.gif,"Sitting on a rock, basking in the sun Is this Iguana's idea of fun Towel and glasses, book and beach chair His life is so perfect without a care!"
Inch the Worm,https://www.angelfire.com/ar/bbcollector/inch.html,img/inch.gif,Inch the worm is a friend of mine He goes so slow all the time Inching around from here to there Traveling the world without a care!
Inky the Octopus,https://www.angelfire.com/ar/bbcollector/inky.html,img/inky.gif,"Inky's head is big and round As he swims he makes no sound If you need a hand, don't hesitate Inky can help because he has eight."
Jolly the Walrus,https://www.angelfire.com/ar/bbcollector/jolly.html,img/jolly.gif,"Jolly the walrus is not very serious He laughs and laughs until he's delirious He often reminds me of my dad Always happy, never sad!"
Kiwi the Toucan,https://www.angelfire.com/ar/bbcollector/kiwi.html,img/kiwi.gif,Kiwi waits for April showers Watching a garden bloom with flowers There trees grow with fruit that's sweet I'm sure you'll guess his favorite treat!
Kuku the Cockatoo,https://www.angelfire.com/ar/bbcollector/kuku.html,img/kuku2.gif,"This fancy bird loves to converse He talks in poems, rhythms and verse So take him home and give him some time You'll be surprised how he can rhyme!"
